SegmentId,StartTime,EndTime,Transcript,Topic
nan,nan,nan,Industry and stuff so they French,No
nan,nan,nan,closer to their ideal than the Russians.,No
HRaPmO6TlaM33,7.16,7.16,"did now, but one more slide. Cuz. I m",No
HRaPmO6TlaM34,7.16,7.16,"thanks. Sorry, it wa a little bit",No
HRaPmO6TlaM35,7.21,7.28,"rambling, but You know Thank",No
nan,nan,nan,Oh Thank you. almost,No
HRaPmO6TlaM36,7.28,7.37,all right thanks. everyone. the first,No
HRaPmO6TlaM37,7.37,7.47,presentation obviously showed many,No
nan,nan,nan,the error that could have been,No
nan,nan,nan,by more careful planning and,No
nan,nan,nan,to detail. The talk which follows,Structure
HRaPmO6TlaM38,7.47,8.07,how preparation can make a speaker,Structure
nan,nan,nan,"successful good afternoon, lady",No
nan,nan,nan,"gentleman this afternoon, I d like to",No
nan,nan,nan,share with You a few insight into the,Structure
nan,nan,nan,"area of transformational leadership,",No
nan,nan,nan,my presentation is divided into,Structure
nan,nan,nan,part. We first of all define,Structure
HRaPmO6TlaM39,8.1,8.5,"and define transformational leadership,",Structure
nan,nan,nan,A well one of The most,No
nan,nan,nan,feature of any talk is the,Structure
nan,nan,nan,Prisca ha clearly outlined her,Structure
nan,nan,nan,point and her talk conveys a sense,No
nan,nan,nan,"direction, one and pas it behind",No
nan,nan,nan,"enough For everybody, but all at all",No
nan,nan,nan,"defines leadership, A the ability",No
nan,nan,nan,influence others to,No
nan,nan,nan,organizational,No
nan,nan,nan,Priska ha researched her,No
nan,nan,nan,thoroughly and given source for her,Structure
nan,nan,nan,They say that transformational,No
nan,nan,nan,are those leader who seek to change,Structure
nan,nan,nan,status quo. They Priscus manner,No
HRaPmO6TlaM40,8.5,9,delivery is appropriate for an,No
nan,nan,nan,presentation She us formal,No
nan,nan,nan,and her slide are suitable,No
nan,nan,nan,"reference and bright color, but no,",No
nan,nan,nan,gimmick. The slide are easy to read and,No
HRaPmO6TlaM41,9.02,9.05,do not contain too much information,Structure
nan,nan,nan,seen. A A role model is respected and is,No
HRaPmO6TlaM42,9.08,9.11,trusted by follower. The second,No
HRaPmO6TlaM43,9.11,9.16,obviously enjoys her subject and,No
nan,nan,nan,to keep the audience s.,No
HRaPmO6TlaM44,9.18,9.2,throughout the talk She s,No
nan,nan,nan,attention and treat,No
nan,nan,nan,individually. He mentor he coach,No
HRaPmO6TlaM45,9.23,9.4,and he advises them a well it is,No
nan,nan,nan,"that transformational leader, are",No
nan,nan,nan,Taker Priska engages her audience by,No
nan,nan,nan,"delivering her material, a a talk not",No
nan,nan,nan,just reading word from a,No
nan,nan,nan,of paper or from the screen. She,No
HRaPmO6TlaM46,9.4,9.53,good use of her note written on,No
nan,nan,nan,card so that they prompt her to talk,No
nan,nan,nan,but,No
nan,nan,nan,do nt cover her face or distract,No
nan,nan,nan,audience with whom she maintains,No
nan,nan,nan,eye contact. There inspire? U of,No
HRaPmO6TlaM47,9.53,10.07,"and they also trust, they are",No
nan,nan,nan,"organization, and they all Priscus",Structure
nan,nan,nan,"material, is related to her topic and She",Structure
nan,nan,nan,make it relevant to The audience too by,No
nan,nan,nan,referring to real situation.,No
HRaPmO6TlaM48,10.09,10.19,all that ha resulted in two high,No
nan,nan,nan,"morale, improved service delivery and of",No
nan,nan,nan,"course, a satisfied, client, and we are",No
nan,nan,nan,happy now to be known. A the,No
HRaPmO6TlaM49,10.19,10.23,Prisca ha been in control,No
nan,nan,nan,her presentation. Now She is practiced,No
HRaPmO6TlaM50,10.23,10.29,that the torque keep the time and She,No
nan,nan,nan,know how to use the computer,No
nan,nan,nan,effectively. She know her subject well.,No
HRaPmO6TlaM51,10.3,10.3,nan,No
HRaPmO6TlaM52,10.33,10.37,"and ha researched It carefully, so that",No
nan,nan,nan,She is Now confident to answer the,No
nan,nan,nan,audience s. question and suggest,No
HRaPmO6TlaM53,10.37,10.39,"source of information. and lastly, I d",Structure
HRaPmO6TlaM54,10.39,10.53,just like to leave you with this,No
nan,nan,nan,from Henry Kissinger that say that the,Structure
nan,nan,nan,"task of The leader, is to get his",Structure
nan,nan,nan,from where They are to where They have,Structure
nan,nan,nan,"not been now, If there s any of you who s.",No
HRaPmO6TlaM55,10.56,11,"interested in pursuing this, all These",No
nan,nan,nan,point together have produced,Structure
nan,nan,nan,successful presentation. which ha,No
HRaPmO6TlaM56,11,11.24,followed a clear pattern and kept,Structure
nan,nan,nan,audience interested leaving them with a,No
nan,nan,nan,good conclusion and idea to,Structure
nan,nan,nan,even after the talk is finished,Structure
nan,nan,nan,Priska is prepared and that ha made,Structure
nan,nan,nan,the,No
nan,nan,nan,well we ve had. a very interesting,No
HRaPmO6TlaM57,11.24,11.24,here. Looking at These presentation and,No
HRaPmO6TlaM58,11.26,11.31,I think There are some very important,Structure
nan,nan,nan,point that we need to when,No
nan,nan,nan,"You re doing a presentation. you really,",No
HRaPmO6TlaM59,11.31,11.43,need to understand your topic and be,No
nan,nan,nan,prepared to answer question on it then,No
nan,nan,nan,you need to consider how you re going to,No
nan,nan,nan,transform that topic an,No
nan,nan,nan,presentation that s going to,Structure
nan,nan,nan,thing like The structure. and,Structure
HRaPmO6TlaM60,11.43,11.57,emphasizing,No
nan,nan,nan,organization signal to make the,Structure
nan,nan,nan,point clear you need to make that,Structure
nan,nan,nan,You do nt just read your presentation,No
nan,nan,nan,either from the slide or from a handout,No
nan,nan,nan,"but actually use,",No
nan,nan,nan,"card, which You re number",No
nan,nan,nan,you drop them. You also need to make sure,No
HRaPmO6TlaM61,11.57,12.03,that You re familiar,No
nan,nan,nan,Do nt turn up and to,Structure
nan,nan,nan,be there If you have nt prepared it.,No
HRaPmO6TlaM62,12.04,12.26,Your talk need to be relevant,No
nan,nan,nan,everything on the slide and The,No
nan,nan,nan,overhead and on the handout and make,No
nan,nan,nan,sure that your language is appropriate,No
nan,nan,nan,and formal and academic remember that,Structure
nan,nan,nan,You re giving,No
nan,nan,nan,make sure You also stick,No
nan,nan,nan,limit there s nothing,Structure
nan,nan,nan,"way over time and just rambling, on and",No
nan,nan,nan,especially make sure that You turn,No
nan,nan,nan,your mobile phone,No
nan,nan,nan,generally. I hope these have given you,No
HRaPmO6TlaM63,12.26,13.04,your mobile phone,No
nan,nan,nan,generally. I hope these have given you,No
nan,nan,nan,some good idea your own,No
nan,nan,nan,presentation,No
nan,nan,nan,The,No
nan,nan,nan,you,No
QT5vlkGM8101,0,0,I sent an email to Nicole and I said,No
nan,nan,nan,Nicole. I want to know the top thing,No
QT5vlkGM8102,0.04,0.08,that they want to know at this,No
nan,nan,nan,conference when I come to deliver this,Structure
nan,nan,nan,presentation. This is what you told me.,Structure
QT5vlkGM8103,0.09,0.09,nan,No
QT5vlkGM8104,0.11,0.19,I m going to teach you the top eight,No
nan,nan,nan,way in your book to more effectively,No
nan,nan,nan,deliver a business presentation so that,No
nan,nan,nan,you can get your audience to do what you,No
nan,nan,nan,"want. So you can motivate them, show",No
QT5vlkGM8105,0.2,0.27,"credibility and even make more money, and",No
nan,nan,nan,I m going to start with how to make,No
nan,nan,nan,boring topic interesting. You should,No
QT5vlkGM8106,0.27,0.37,know I m going to model everything I,No
nan,nan,nan,suggest you do It used to drive me crazy,No
nan,nan,nan,"when I d go to these conference, and",No
nan,nan,nan,"people would tell me to do stuff, but",No
nan,nan,nan,they either would nt. Tell me exactly how,Structure
QT5vlkGM8107,0.37,0.38,to do It or they would nt. show me how to,No
QT5vlkGM8108,0.38,0.4,do It themselves. Everything I m going to,Structure
QT5vlkGM8109,0.4,0.47,"suggest you do including what I just did,",No
nan,nan,nan,which is called the circle of knowledge,Structure
nan,nan,nan,by the way and I ll give you the,Structure
nan,nan,nan,to It later. I m going to model for,No
QT5vlkGM81010,0.47,0.52,and I m going to start with these,Structure
nan,nan,nan,right here. This is called a hook and a,No
QT5vlkGM81011,0.52,0.55,you know in fishing. If you do nt.,No
QT5vlkGM81012,0.55,0.55,nan,No
QT5vlkGM81013,0.56,0.56,"the hook appealing, they do nt. want It",No
QT5vlkGM81014,0.56,1.02,you ve got to do the same thing with,Structure
nan,nan,nan,your presentation and the number,No
nan,nan,nan,way that adult find hook. Appealing,No
QT5vlkGM81015,1.02,1.14,if you tell them why you re going to,Structure
nan,nan,nan,"give it to them, Most people start with",Structure
nan,nan,nan,what exactly they start with the what,No
nan,nan,nan,you re going to get It doe nt work.,No
QT5vlkGM81016,1.17,1.18,remember the first thing I said to you,No
nan,nan,nan,"hi, I m Jason Teaneck. I gave you",No
QT5vlkGM81017,1.18,1.23,"credential, but then I said I m going to",No
nan,nan,nan,show You how to gain a,No
nan,nan,nan,advantage by delivering an,No
nan,nan,nan,presentation. that get your audience to,No
QT5vlkGM81018,1.26,1.27,"do what you want. you did, nt know how I",No
QT5vlkGM81019,1.27,1.33,"wa going to do It Yet you did, nt know",No
nan,nan,nan,"what It wa going to look like yet,",No
nan,nan,nan,you knew why you wanted it. I wa in,No
QT5vlkGM81020,1.33,1.46,to buy an iPad a few year ago for my,No
nan,nan,nan,"wife and a man, and I were stuck",Structure
nan,nan,nan,in This line kit about 100 people,No
nan,nan,nan,This is when they first came out and I,Structure
nan,nan,nan,looked at him and I said I see her,No
nan,nan,nan,line to buy an iPad and he say yep.,No
QT5vlkGM81021,1.48,1.48,said what doe it. do because I do nt.,No
QT5vlkGM81022,1.48,1.48,nan,No
QT5vlkGM81023,1.5,1.5,know I ve never seen one. You ve never,No
QT5vlkGM81024,1.5,1.53,"seen one. He go nope, I said Well,",No
QT5vlkGM81025,1.53,1.56,how do. you know you wanted because it,No
QT5vlkGM81026,1.56,1.58,going to change my life? He say to me.,No
QT5vlkGM81027,1.59,2.01,This how he say it it s going to change,No
nan,nan,nan,my life? really. Why is It going to change,Structure
QT5vlkGM81028,2.01,2.1,your life? He go because Steve,No
nan,nan,nan,I watched him present on this and he,No
nan,nan,nan,explained to me. that It s going to,No
QT5vlkGM81029,2.1,2.1,me.,No
QT5vlkGM81030,2.13,2.13,I m going to get thing done.,No
QT5vlkGM81031,2.15,2.17,I m going to be able to have,Structure
nan,nan,nan,"it, because I get really.",No
QT5vlkGM81032,2.19,2.41,"day, he s telling me these thing",No
nan,nan,nan,like wow everything he s telling me is,No
nan,nan,nan,which one why he d wanted s the,No
nan,nan,nan,practical I want you to for your,No
nan,nan,nan,presentation to take,No
nan,nan,nan,you re going to teach and next to,Structure
nan,nan,nan,one I want you to write,Structure
nan,nan,nan,think it ll make your audience more,No
nan,nan,nan,"successful, more happy",No
nan,nan,nan,freedom in their life. Just,No
QT5vlkGM81033,2.41,2.58,or F next to each topic then write down,No
nan,nan,nan,Why and then look at all,No
nan,nan,nan,of those topic and then all,No
nan,nan,nan,"that in one sentence, like I m going to",No
nan,nan,nan,show You how to gain the competitive,No
nan,nan,nan,advantage by delivering a presentation,No
nan,nan,nan,that get your audience to do what you,No
nan,nan,nan,want. doe nt that make,No
QT5vlkGM81034,3,3.07,"professional more successful,",No
nan,nan,nan,get their audience to do what they want,No
nan,nan,nan,and wo nt. it make them when they,No
QT5vlkGM81035,3.07,3.12,have that competitive advantage and when,No
nan,nan,nan,I said that you could hear a in,No
nan,nan,nan,here. did you that because,No
QT5vlkGM81036,3.14,4.05,"everyone want It If you know you did,",Structure
nan,nan,nan,This right by the way If you say it and,No
nan,nan,nan,"the people say oh, I ve for",No
nan,nan,nan,someone like you that s a hook that s,No
nan,nan,nan,"the first way, to make your presentation",No
nan,nan,nan,"amazing And irresistible hi, I m Jason",No
nan,nan,nan,Teague from rule the room,No
nan,nan,nan,"about to learn how to deliver money,",No
nan,nan,nan,making presentation and,No
nan,nan,nan,technique,No
nan,nan,nan,professional will never know If you re,Structure
nan,nan,nan,looking to advance,No
nan,nan,nan,"your income level,",No
nan,nan,nan,or customer or and,No
nan,nan,nan,"your co, then this is the",No
nan,nan,nan,for you even If you,No
nan,nan,nan,speaking in front of an audience in,No
nan,nan,nan,meeting keynote,No
nan,nan,nan,"speaking venue, You re about to gain a",Structure
nan,nan,nan,competitive advantage by,No
nan,nan,nan,of powerful technique. You ve never seen,No
QT5vlkGM81037,4.05,4.08,to sell your idea. Add,No
QT5vlkGM81038,4.08,4.21,"small talk, overcome your and make",Structure
nan,nan,nan,"an incredible impression, and If you re",No
nan,nan,nan,concerned that your of public,No
nan,nan,nan,speaking is holding,Structure
nan,nan,nan,"advancing in your career, we",Structure
nan,nan,nan,concrete step. You can take to in,No
QT5vlkGM81039,4.21,4.25,front of an audience and to,No
nan,nan,nan,your message comfortably. This is one of,No
QT5vlkGM81040,4.25,5.01,our most for,No
nan,nan,nan,professional that s because we,No
nan,nan,nan,surveyed hundred,Structure
nan,nan,nan,consultant to determine,No
nan,nan,nan,thing they needed,No
nan,nan,nan,business presentation This,No
nan,nan,nan,address all eight Let me just tell you,Structure
nan,nan,nan,"how This course is organized,",Structure
nan,nan,nan,get a feel for what s in in the,No
nan,nan,nan,"first section, you ll learn how to",No
nan,nan,nan,"any topic, no matter how boring one",No
nan,nan,nan,that fascinates and the,No
nan,nan,nan,of your audience and you ll learn how to,No
nan,nan,nan,overcome your fear of public speaking,No
nan,nan,nan,and feel le nervous. When,No
QT5vlkGM81041,5.01,5.16,front of an audience So that your,No
nan,nan,nan,"audience feel safe with You in section,",No
nan,nan,nan,"two, you ll learn how to make comfortable",No
nan,nan,nan,"small talk, to help you more client",No
nan,nan,nan,and build rapport,No
nan,nan,nan,This is one of the top thing that,Structure
nan,nan,nan,business client want to know how do. I,No
QT5vlkGM81042,5.16,5.24,"talk, to people one next you ll",No
nan,nan,nan,learn how to your audience,No
nan,nan,nan,listening even,No
nan,nan,nan,why 45 minute.,No
QT5vlkGM81043,5.27,5.33,people s mind start to about,No
nan,nan,nan,every 10 minute it s the,No
nan,nan,nan,"drifting theory,",No
nan,nan,nan,"importantly, after 45 minute. the",No
QT5vlkGM81044,5.33,5.36,drifting interval,No
nan,nan,nan,"speed up, and you really. your",No
QT5vlkGM81045,5.36,5.43,audience you re going to learn the tool,No
nan,nan,nan,you can use to keep them on the of,No
nan,nan,nan,"their seat, no matter how long. your",No
QT5vlkGM81046,5.43,6.36,"their seat, no matter how long. your",No
nan,nan,nan,"presentation and Finally in section,",Structure
nan,nan,nan,you ll get the answer to one of the Most,Structure
nan,nan,nan,common question,No
nan,nan,nan,How do I tailor my message for the,No
nan,nan,nan,specific people in the room you re going,No
nan,nan,nan,to learn how to do It even on the in,No
nan,nan,nan,"section, 3, you ll find out how to",Structure
nan,nan,nan,challenging people in your audience the,No
nan,nan,nan,gripe complainer,No
nan,nan,nan,"hog, quiet",No
nan,nan,nan,these people can quickly,No
nan,nan,nan,"presentation, so you need to know how to",No
nan,nan,nan,handle them and stay on You ll,No
nan,nan,nan,learn the top 10 most common,No
nan,nan,nan,"presentation, mistake and how to",No
nan,nan,nan,"them, or avoid them to start with and",No
nan,nan,nan,Finally You ll learn how to use the top,No
nan,nan,nan,5 best practice in public speaking to,No
nan,nan,nan,deliver a message,No
nan,nan,nan,to your audience Thank,Structure
nan,nan,nan,this course we re looking to,No
nan,nan,nan,learning with You Let s get we,No
nan,nan,nan,"wish you the best in your career,",Structure
nan,nan,nan,"you,",No
XyRjKCT_wrk1,0,0.11,"When it come to presenting online, most",No
nan,nan,nan,"of what we see is pretty, in fact, if",No
nan,nan,nan,you re invited to watch an online,No
nan,nan,nan,presentation or attend an online virtual,No
nan,nan,nan,"meeting, your expectation are pretty low.",No
XyRjKCT_wrk2,0.14,0.2,"Well, these are five top tip to make",No
nan,nan,nan,sure you deliver awesome content that,No
nan,nan,nan,everybody will remember now it s worth,Structure
nan,nan,nan,"saying. I m, assuming in this video that",No
XyRjKCT_wrk3,0.23,0.27,you re going to be either filming on,No
nan,nan,nan,your phone or on your laptop. A most,No
XyRjKCT_wrk4,0.27,0.38,people would be tip number one think,Structure
nan,nan,nan,about the setting that you are in So,No
nan,nan,nan,when you re delivering an online,No
nan,nan,nan,presentation really think about your,No
nan,nan,nan,background. What s behind you! you! do nt,No
XyRjKCT_wrk5,0.41,0.52,"want anything that s too distracting, so",No
nan,nan,nan,not in the kitchen with all the kitchen,No
nan,nan,nan,crap behind you! you! want something,No
nan,nan,nan,"that s plain and that look professional,",No
nan,nan,nan,"just use a backdrop like I m, using now.",No
XyRjKCT_wrk6,0.55,1,This is just a standard black backdrop,No
nan,nan,nan,and you can buy these on Amazon and,No
nan,nan,nan,they re really not that expensive. The,No
XyRjKCT_wrk7,1,1,same. You can get a stand to hold your,No
XyRjKCT_wrk8,1.02,1.07,"backdrop on A well, so I d really",No
nan,nan,nan,consider investing in one of those. If,No
XyRjKCT_wrk9,1.07,1.18,you re going to be doing more online,No
nan,nan,nan,presentation think about how quiet the,No
nan,nan,nan,area is that you re presenting in So you,Structure
nan,nan,nan,do nt want any background. Noise close,No
XyRjKCT_wrk10,1.18,1.3,"the window, make it A quiet a possible",No
nan,nan,nan,"because when you re presenting online,",No
nan,nan,nan,the sound is really important and think,No
nan,nan,nan,"about the lighting a well, so you. want",No
XyRjKCT_wrk11,1.3,1.35,the space that you re in to be really,No
nan,nan,nan,"well, lit, so turn the light on. If",No
XyRjKCT_wrk12,1.35,1.48,"there s A window, in the room that you re",No
nan,nan,nan,in make sure that that is in front of,No
nan,nan,nan,you and basically that no lighting,No
nan,nan,nan,source is directly behind you! because,Structure
nan,nan,nan,what you ll find is it will look like,Structure
nan,nan,nan,you re in darkness to the viewer. So,No
XyRjKCT_wrk13,1.48,1.54,really think about the setting that,No
nan,nan,nan,you re in number two stand up. If you,No
XyRjKCT_wrk14,1.54,1.57,stand up. you will naturally deliver A,No
XyRjKCT_wrk15,1.57,2,much better presentation. You will look,No
XyRjKCT_wrk16,2,2.08,like you are performing far too often,No
nan,nan,nan,when we sit and we watch an online,No
nan,nan,nan,presentation we re watching. Somebody sat,No
XyRjKCT_wrk17,2.08,2.13,at the table slunt down,No
nan,nan,nan,it s hard to present. From this point of,No
XyRjKCT_wrk18,2.13,2.18,"view, it look like they do nt care it s",No
nan,nan,nan,hard to retain somebody s attention. When,No
XyRjKCT_wrk19,2.18,2.21,you look like that So stand up. and,No
XyRjKCT_wrk20,2.21,2.35,"really give it A presentation, style, it",No
nan,nan,nan,will shock the audience into listening,No
nan,nan,nan,because most of what they see in online,No
nan,nan,nan,presentation is crap and it will make,No
nan,nan,nan,them listen,No
nan,nan,nan,so deliver A performance by standing up.,No
XyRjKCT_wrk21,2.37,2.37,"Now, if you re going to stand up. you need",No
XyRjKCT_wrk22,2.37,2.4,to raise your laptop. up. higher so that,No
XyRjKCT_wrk23,2.4,2.43,the lens of the camera is in your direct,No
nan,nan,nan,eyeline. You do not want to be looking,No
XyRjKCT_wrk24,2.46,2.55,"down at your camera lens, because then",No
nan,nan,nan,all your audience can see is the inside,No
nan,nan,nan,"of your nose. Cavity, so standing up. will",No
XyRjKCT_wrk25,2.55,2.55,nan,No
XyRjKCT_wrk26,2.55,2.58,just naturally make you deliver A better,No
nan,nan,nan,presentation. and that is key. When,No
XyRjKCT_wrk27,3.01,3.01,nan,No
XyRjKCT_wrk28,3.01,3.06,"delivering a presentation, online you are",No
nan,nan,nan,still performing so stand up. and perform,No
XyRjKCT_wrk29,3.06,3.1,tip number three rehearse. You need to,No
XyRjKCT_wrk30,3.1,3.3,treat your online presentation A you,No
nan,nan,nan,"would a presentation, on A stage in front",No
nan,nan,nan,"of 200 people So practice get set up, get",Structure
nan,nan,nan,"the camera set up, and practice",No
nan,nan,nan,"performing to that camera lens, tip",No
nan,nan,nan,number four dress: to impress. How often,No
XyRjKCT_wrk31,3.3,3.38,"do we watch people presenting online, and",No
nan,nan,nan,it look like they ve made? No effort at,No
nan,nan,nan,all you. need to treat your online,No
XyRjKCT_wrk32,3.38,3.41,presentation in the same. way. You Would a,No
XyRjKCT_wrk33,3.41,3.46,performance in front of 200 people So,No
nan,nan,nan,"dress: to impress. if it s casual,",No
XyRjKCT_wrk34,3.46,3.53,something where you re maybe just,No
nan,nan,nan,"talking to colleague something casual,",No
nan,nan,nan,"like This Would work. But maybe, if you re",Structure
XyRjKCT_wrk35,3.53,4.21,"presenting to customer, you need to",No
nan,nan,nan,dress: smarter something like This The,No
nan,nan,nan,important thing to remember with online,No
nan,nan,nan,presentation is you need to treat it A,No
nan,nan,nan,"you would a presentation, in front of A",No
nan,nan,nan,live audience so when it come to what,No
nan,nan,nan,to wear,No
nan,nan,nan,my advice is mirror the audience if,No
nan,nan,nan,you re presenting to colleague then you,No
nan,nan,nan,"can go with casual, But if you re",No
nan,nan,nan,"presenting to customer, I d always go",No
nan,nan,nan,with smart think about What you! Would be,No
nan,nan,nan,wearing. If you were on,No
XyRjKCT_wrk36,4.23,4.39,and number five think about your,No
nan,nan,nan,supporting material by supporting,Structure
nan,nan,nan,material,No
nan,nan,nan,"I mean PowerPoint Prezi, whatever slide",No
nan,nan,nan,format you intend to use But also video,No
nan,nan,nan,"A well, do nt ignore video. You can still",No
XyRjKCT_wrk37,4.39,4.45,start an online presentation with an,No
nan,nan,nan,opening video. If you want to and The,No
XyRjKCT_wrk38,4.45,5.14,slide that you use make sure you use,No
nan,nan,nan,picture so that people really remember,No
nan,nan,nan,them and remember you and your content,Structure
nan,nan,nan,and importantly with supporting content,No
nan,nan,nan,you need to make sure that you have a,No
nan,nan,nan,"backup a well, when thing are online",No
nan,nan,nan,you always run the risk of the stream,No
nan,nan,nan,going down and people not being able to,No
nan,nan,nan,see you If this happens have your,Structure
nan,nan,nan,supporting content your slide and your,No
nan,nan,nan,"opening video. available, so that you can",No
XyRjKCT_wrk39,5.14,5.19,send it to people If they have nt been,No
nan,nan,nan,"able to see it Properly online, So those.",No
XyRjKCT_wrk40,5.22,5.27,are my five top tip when it come to,No
nan,nan,nan,"presenting online, remember the",Structure
nan,nan,nan,audience s expectation is low. most of,No
XyRjKCT_wrk41,5.27,5.45,these are So If you just put in,No
nan,nan,nan,some extra effort and follow those five,No
nan,nan,nan,top tip you ll deliver some awesome,No
nan,nan,nan,content that people will remember thanks,No
nan,nan,nan,for watching that video I hope you found,No
nan,nan,nan,it useful if you did here s the link to,No
nan,nan,nan,some more. Please do subscribe because,No
XyRjKCT_wrk42,5.45,5.48,I ll be uploading. Video weekly,No
5utoLhjUuAI1,0.08,0.08,"Hi, my name is Joe McCarthy. I m one of",No
5utoLhjUuAI2,0.08,0.19,the pad shooter at the University of,No
nan,nan,nan,"Bedfordshire, and I m going to give you a",No
nan,nan,nan,very brief introduction of what,Structure
nan,nan,nan,paraphrasing is so by the end of today s,No
nan,nan,nan,"session, you ll know about why we use",No
nan,nan,nan,reference. The difference between quote,Structure
5utoLhjUuAI3,0.21,0.32,and paraphrasing and how to paraphrase,No
nan,nan,nan,"so, there are three main reason why it s",No
nan,nan,nan,important to reference. in your,No
5utoLhjUuAI4,0.32,0.32,assignment.,No
5utoLhjUuAI5,0.35,0.37,"First of all, reference can help to",Structure
nan,nan,nan,validate your point of view. So if you re,No
5utoLhjUuAI6,0.37,0.45,making a claim or an argument about,Structure
nan,nan,nan,"anything in particular, it s always",No
nan,nan,nan,important to use evidence to make that a,Structure
nan,nan,nan,"stronger argument. Okay, the next reason",No
5utoLhjUuAI7,0.45,0.49,is plagiarism. It s very easy to,No
5utoLhjUuAI8,0.49,0.51,accidentally plagiarize in your work. So,No
5utoLhjUuAI9,0.51,0.54,if you understand how to reference.,No
5utoLhjUuAI10,0.56,0.59,"correctly, you ll avoid plagiarizing the",No
nan,nan,nan,last thing it s a source of future,Structure
nan,nan,nan,"investigation. So, for example, if anyone",Structure
5utoLhjUuAI11,1.01,1.05,read your work. and they re interested,No
5utoLhjUuAI12,1.05,1.1,to find out more about what this person,No
nan,nan,nan,"ha said, they can go away and they can",No
nan,nan,nan,locate that information. They can locate,Structure
5utoLhjUuAI13,1.1,1.38,"that source So, there s two way future",Structure
nan,nan,nan,reference in quoting and,No
nan,nan,nan,paraphrasing,No
nan,nan,nan,a quotation is when you copy a piece of,Structure
nan,nan,nan,text word from a book or,No
nan,nan,nan,another type of source you should keep,Structure
nan,nan,nan,these to an absolute minimum at,No
nan,nan,nan,University we re looking to see that,No
nan,nan,nan,you re paraphrasing rather than just,No
nan,nan,nan,copying lengthy text from somebody,No
nan,nan,nan,"else. S work, so a I just mentioned, do",No
5utoLhjUuAI14,1.4,1.48,not have them too long that will eat,No
nan,nan,nan,into your word count and ultimately it,No
nan,nan,nan,"will affect the mark that you ll get. So,",Structure
5utoLhjUuAI15,1.48,1.53,paraphrasing is what we re looking to,No
nan,nan,nan,see that you re doing your assignment.,No
5utoLhjUuAI16,1.54,1.56,"However, anything is when you look at",No
nan,nan,nan,"other people, s work. and you put it into",No
5utoLhjUuAI17,1.56,1.58,your own word. It wa more to,No
5utoLhjUuAI18,1.58,2.06,paraphrasing than just changing one or,No
nan,nan,nan,two word here and there or cutting out,No
nan,nan,nan,word from a sentence. It will show your,Structure
5utoLhjUuAI19,2.06,2.18,"understanding to the reader, so, instead",No
nan,nan,nan,of just identifying that something s,No
nan,nan,nan,important and copying it word,No
nan,nan,nan,You ve been able to read it understand,No
nan,nan,nan,it and apply it to your work. So I m,No
5utoLhjUuAI20,2.18,2.35,"going to show you an example, of how to",No
nan,nan,nan,go from using a quote to paraphrasing it,No
nan,nan,nan,So if We look at this quote here in,Structure
nan,nan,nan,"academic writing, it s essential to state",No
nan,nan,nan,the source of idea information. Such,No
5utoLhjUuAI21,2.35,2.39,reference allow reader to refer back,Structure
nan,nan,nan,to the source themselves. This next,Structure
5utoLhjUuAI22,2.39,2.46,slide show you my First attempt of,No
nan,nan,nan,paraphrasing the original is at the,No
nan,nan,nan,bottom. My first attempt at the top,No
5utoLhjUuAI23,2.49,3,"Cottrell state that in writing, it s",Structure
nan,nan,nan,important to state the source of idea,Structure
nan,nan,nan,reference allow reader to find the,Structure
nan,nan,nan,source themselves. Okay. What do you,Structure
5utoLhjUuAI24,3,3.11,think about my First attempt of,No
nan,nan,nan,paraphrasing,No
nan,nan,nan,you have nt quoted it properly it s not,No
nan,nan,nan,a very good attempt. You re right. I,No
5utoLhjUuAI25,3.11,3.11,nan,No
5utoLhjUuAI26,3.11,3.15,have nt done it properly I ve cut out,No
nan,nan,nan,some word here and there I ve used some,No
nan,nan,nan,synonym. I ve changed essential to,Structure
5utoLhjUuAI27,3.17,3.3,important it s not actually enough to do,No
nan,nan,nan,this and call it paraphrasing at the top,No
nan,nan,nan,you ll see my next attempt the original,No
nan,nan,nan,at the bottom. and my First attempt is in,No
5utoLhjUuAI28,3.3,3.3,view. here contrl state that referencing,Structure
5utoLhjUuAI29,3.32,3.41,should always be used when using the,No
nan,nan,nan,idea and opinion of others and,No
nan,nan,nan,"academic writing, so that the original",No
nan,nan,nan,source can be easily located. What do you,Structure
5utoLhjUuAI30,3.41,3.57,think of this attempt yeah that s much,No
nan,nan,nan,better and you properly reference the,No
nan,nan,nan,"page, a well okay? So this is a much",No
nan,nan,nan,better attempt at paraphrasing I m not,No
nan,nan,nan,"going to claim it perfect, but you can",Structure
nan,nan,nan,see that I certainly have tried to put,No
nan,nan,nan,it into my own word. and I ve still got,Structure
5utoLhjUuAI31,3.57,4.02,the same point across and I ve correctly,No
nan,nan,nan,referenced the author.,Structure
5utoLhjUuAI32,4.08,4.11,So once you paraphrase once you ve put,Structure
nan,nan,nan,something into your own word. how do you,No
5utoLhjUuAI33,4.11,4.16,include that in your text well you need,No
nan,nan,nan,to make sure you put the surname of the,No
nan,nan,nan,author. or the organization and you need,Structure
5utoLhjUuAI34,4.17,4.21,to put the year of publication. So that,Structure
5utoLhjUuAI35,4.21,4.26,will look like this at the start of a,No
nan,nan,nan,sentence. Cottrell 2001 stated that,Structure
