SegmentId,StartTime,EndTime,Transcript,,,,,,,
,,,know how to use the computer,,,,,,,
,,,effectively. She know her subject well.,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM51,10.3,10.3,nan,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM52,10.33,10.37,"and ha researched It carefully, so that",Confident,SpeakerEmotion,,,Delivery,,
,,,She is Now confident to answer the,,,,,,,
,,,audience s. question and suggest,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM53,10.37,10.39,"source of information. and lastly, I d",Information,BodyComponent,StructureComponent,,Structure,,
,,,,,,,,,,
HRaPmO6TlaM54,10.39,10.53,just like to leave you with this,,,,,,,
,,,from Henry Kissinger that say that the,,,,,,,
,,,"task of The leader, is to get his",,,,,,,
,,,from where They are to where They have,,,,,,,
,,,"not been now, If there s any of you who s.",,,,,,,
,,,,,,,,,,
HRaPmO6TlaM55,10.56,11,"interested in pursuing this, all These",,,,,,,
,,,point together have produced,,,,,,,
,,,successful presentation. which ha,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM56,11,11.24,followed a clear pattern and kept,Audience,,,,Delivery,,
,,,audience interested leaving them with a,,,,,,,
,,,good conclusion and idea to,,,,,,,
,,,even after the talk is finished,,,,,,,
,,,Priska is prepared and that ha made,,,,,,,
,,,the,,,,,,,
,,,well we ve had. a very interesting,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM57,11.24,11.24,here. Looking at These presentation and,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM58,11.26,11.31,I think There are some very important,,,,,,,
,,,point that we need to when,,,,,,,
,,,"You re doing a presentation. you really,",,,,,,,
,,,,,,,,,,
HRaPmO6TlaM59,11.31,11.43,need to understand your topic and be,Topic,BodyComponent,StructureComponent,,Structure,,
,,,prepared to answer question on it then,Topic,BodyComponent,StructureComponent,,Structure,,
,,,you need to consider how you re going to,,,,,Structure,,
,,,transform that topic an,,,,,,,
,,,presentation that s going to,,,,,,,
,,,thing like The structure. and,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM60,11.43,11.57,emphasizing,Organization,,,,PresentationAttribute,,
,,,organization signal to make the,Slide,VisualAidArtefact,,,VisualAid,,
,,,point clear you need to make that,Handout,VisualAidArtefact,,,VisualAid,,
,,,You do nt just read your presentation,,,,,,,
,,,either from the slide or from a handout,,,,,,,
,,,"but actually use,",,,,,,,
,,,"card, which You re number",,,,,,,
,,,you drop them. You also need to make sure,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM61,11.57,12.03,that You re familiar,,,,,,,
,,,Do nt turn up and to,,,,,,,
,,,be there If you have nt prepared it.,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM62,12.04,12.26,Your talk need to be relevant,Slide,VisualAidArtefact,,,VisualAid,,
,,,everything on the slide and The,Handout,VisualAidArtefact,,,VisualAid,,
,,,overhead and on the handout and make,MobilePhone,Computer,VisualAidDevice,,VisualAid,,
,,,sure that your language is appropriate,,,,,,,
,,,and formal and academic remember that,,,,,,,
,,,You re giving,,,,,,,
,,,make sure You also stick,,,,,,,
,,,limit there s nothing,,,,,,,
,,,"way over time and just rambling, on and",,,,,,,
,,,especially make sure that You turn,,,,,,,
,,,your mobile phone,,,,,,,
,,,generally. I hope these have given you,,,,,,,
,,,,,,,,,,
HRaPmO6TlaM63,12.26,13.04,your mobile phone,MobilePhone,Computer,VisualAidDevice,,VisualAid,,
,,,generally. I hope these have given you,,,,,,,
,,,some good idea your own,,,,,,,
,,,presentation,,,,,,,
,,,The,,,,,,,
,,,you,,,,,,,
,,,,,,,,,,
QT5vlkGM8101,0,0,I sent an email to Nicole and I said,,,,,,,
,,,Nicole. I want to know the top thing,,,,,,,
,,,,,,,,,,
QT5vlkGM8102,0.04,0.08,that they want to know at this,,,,,,,
,,,conference when I come to deliver this,,,,,,,
,,,presentation. This is what you told me.,,,,,,,
,,,,,,,,,,
QT5vlkGM8103,0.09,0.09,nan,,,,,,,
,,,,,,,,,,
QT5vlkGM8104,0.11,0.19,I m going to teach you the top eight,Audience,,,,Delivery,,
,,,way in your book to more effectively,,,,,,,
,,,deliver a business presentation so that,,,,,,,
,,,you can get your audience to do what you,,,,,,,
,,,"want. So you can motivate them, show",,,,,,,
,,,,,,,,,,
QT5vlkGM8105,0.2,0.27,"credibility and even make more money, and",Start,StructureComponent,,,Structure,,
,,,I m going to start with how to make,,,,,,,
,,,boring topic interesting. You should,,,,,,,
,,,,,,,,,,
QT5vlkGM8106,0.27,0.37,know I m going to model everything I,Model,Prop,VisualAidArtefact,,VisualAid,,
,,,suggest you do It used to drive me crazy,,,,,,,
,,,"when I d go to these conference, and",,,,,,,
,,,"people would tell me to do stuff, but",,,,,,,
,,,they either would nt. Tell me exactly how,,,,,,,
,,,,,,,,,,
QT5vlkGM8107,0.37,0.38,to do It or they would nt. show me how to,,,,,,,
,,,,,,,,,,
QT5vlkGM8108,0.38,0.4,do It themselves. Everything I m going to,,,,,,,
,,,,,,,,,,
QT5vlkGM8109,0.4,0.47,"suggest you do including what I just did,",Model,Prop,VisualAidArtefact,,VisualAid,,
,,,which is called the circle of knowledge,,,,,,,
,,,by the way and I ll give you the,,,,,,,
,,,to It later. I m going to model for,,,,,,,
,,,,,,,,,,
QT5vlkGM81010,0.47,0.52,and I m going to start with these,Start,StructureComponent,,,Structure,,
,,,right here. This is called a hook and a,,,,,,,
,,,,,,,,,,
QT5vlkGM81011,0.52,0.55,you know in fishing. If you do nt.,,,,,,,
,,,,,,,,,,
QT5vlkGM81012,0.55,0.55,nan,,,,,,,
,,,,,,,,,,
QT5vlkGM81013,0.56,0.56,"the hook appealing, they do nt. want It",,,,,,,
,,,,,,,,,,
QT5vlkGM81014,0.56,1.02,you ve got to do the same thing with,,,,,,,
,,,your presentation and the number,,,,,,,
,,,way that adult find hook. Appealing,,,,,,,
,,,,,,,,,,
QT5vlkGM81015,1.02,1.14,if you tell them why you re going to,Start,StructureComponent,,,Structure,,
,,,"give it to them, Most people start with",,,,,,,
,,,what exactly they start with the what,,,,,,,
,,,you re going to get It doe nt work.,,,,,,,
,,,,,,,,,,
QT5vlkGM81016,1.17,1.18,remember the first thing I said to you,,,,,,,
,,,"hi, I m Jason Teaneck. I gave you",,,,,,,
,,,,,,,,,,
QT5vlkGM81017,1.18,1.23,"credential, but then I said I m going to",Audience,,,,Delivery,,
,,,show You how to gain a,,,,,,,
,,,advantage by delivering an,,,,,,,
,,,presentation. that get your audience to,,,,,,,
,,,,,,,,,,
QT5vlkGM81018,1.26,1.27,"do what you want. you did, nt know how I",,,,,,,
,,,,,,,,,,
QT5vlkGM81019,1.27,1.33,"wa going to do It Yet you did, nt know",,,,,,,
,,,"what It wa going to look like yet,",,,,,,,
,,,you knew why you wanted it. I wa in,,,,,,,
,,,,,,,,,,
QT5vlkGM81020,1.33,1.46,to buy an iPad a few year ago for my,,,,,,,
,,,"wife and a man, and I were stuck",,,,,,,
,,,in This line kit about 100 people,,,,,,,
,,,This is when they first came out and I,,,,,,,
,,,looked at him and I said I see her,,,,,,,
,,,line to buy an iPad and he say yep.,,,,,,,
,,,,,,,,,,
QT5vlkGM81021,1.48,1.48,said what doe it. do because I do nt.,,,,,,,
,,,,,,,,,,
QT5vlkGM81022,1.48,1.48,nan,,,,,,,
,,,,,,,,,,
QT5vlkGM81023,1.5,1.5,know I ve never seen one. You ve never,,,,,,,
,,,,,,,,,,
QT5vlkGM81024,1.5,1.53,"seen one. He go nope, I said Well,",,,,,,,
,,,,,,,,,,
QT5vlkGM81025,1.53,1.56,how do. you know you wanted because it,,,,,,,
,,,,,,,,,,
QT5vlkGM81026,1.56,1.58,going to change my life? He say to me.,,,,,,,
,,,,,,,,,,
QT5vlkGM81027,1.59,2.01,This how he say it it s going to change,,,,,,,
,,,my life? really. Why is It going to change,,,,,,,
,,,,,,,,,,
QT5vlkGM81028,2.01,2.1,your life? He go because Steve,,,,,,,
,,,I watched him present on this and he,,,,,,,
,,,explained to me. that It s going to,,,,,,,
,,,,,,,,,,
QT5vlkGM81029,2.1,2.1,me.,,,,,,,
,,,,,,,,,,
QT5vlkGM81030,2.13,2.13,I m going to get thing done.,,,,,,,
,,,,,,,,,,
QT5vlkGM81031,2.15,2.17,I m going to be able to have,,,,,,,
,,,"it, because I get really.",,,,,,,
,,,,,,,,,,
QT5vlkGM81032,2.19,2.41,"day, he s telling me these thing",Audience,,,,Delivery,,
,,,like wow everything he s telling me is,,,,,,,
,,,which one why he d wanted s the,,,,,,,
,,,practical I want you to for your,,,,,,,
,,,presentation to take,,,,,,,
,,,you re going to teach and next to,,,,,,,
,,,one I want you to write,,,,,,,
,,,think it ll make your audience more,,,,,,,
,,,"successful, more happy",,,,,,,
,,,freedom in their life. Just,,,,,,,
,,,,,,,,,,
QT5vlkGM81033,2.41,2.58,or F next to each topic then write down,Topic,BodyComponent,StructureComponent,,Structure,,
,,,Why and then look at all,Topic,BodyComponent,StructureComponent,,Structure,,
,,,of those topic and then all,Audience,,,,Delivery,,
,,,"that in one sentence, like I m going to",,,,,,,
,,,show You how to gain the competitive,,,,,,,
,,,advantage by delivering a presentation,,,,,,,
,,,that get your audience to do what you,,,,,,,
,,,want. doe nt that make,,,,,,,
,,,,,,,,,,
QT5vlkGM81034,3,3.07,"professional more successful,",Audience,,,,Delivery,,
,,,get their audience to do what they want,,,,,,,
,,,and wo nt. it make them when they,,,,,,,
,,,,,,,,,,
QT5vlkGM81035,3.07,3.12,have that competitive advantage and when,,,,,,,
,,,I said that you could hear a in,,,,,,,
,,,here. did you that because,,,,,,,
,,,,,,,,,,
QT5vlkGM81036,3.14,4.05,"everyone want It If you know you did,",Audience,,,,Delivery,,
,,,This right by the way If you say it and,,,,,,,
,,,"the people say oh, I ve for",,,,,,,
,,,someone like you that s a hook that s,,,,,,,
,,,"the first way, to make your presentation",,,,,,,
,,,"amazing And irresistible hi, I m Jason",,,,,,,
,,,Teague from rule the room,,,,,,,
,,,"about to learn how to deliver money,",,,,,,,
,,,making presentation and,,,,,,,
,,,technique,,,,,,,
,,,professional will never know If you re,,,,,,,
,,,looking to advance,,,,,,,
,,,"your income level,",,,,,,,
,,,or customer or and,,,,,,,
,,,"your co, then this is the",,,,,,,
,,,for you even If you,,,,,,,
,,,speaking in front of an audience in,,,,,,,
,,,meeting keynote,,,,,,,
,,,"speaking venue, You re about to gain a",,,,,,,
,,,competitive advantage by,,,,,,,
,,,of powerful technique. You ve never seen,,,,,,,
,,,,,,,,,,
QT5vlkGM81037,4.05,4.08,to sell your idea. Add,,,,,,,
,,,,,,,,,,
QT5vlkGM81038,4.08,4.21,"small talk, overcome your and make",,,,,,,
,,,"an incredible impression, and If you re",,,,,,,
,,,concerned that your of public,,,,,,,
,,,speaking is holding,,,,,,,
,,,"advancing in your career, we",,,,,,,
,,,concrete step. You can take to in,,,,,,,
,,,,,,,,,,
QT5vlkGM81039,4.21,4.25,front of an audience and to,Audience,,,,Delivery,,
,,,your message comfortably. This is one of,,,,,,,
,,,,,,,,,,
QT5vlkGM81040,4.25,5.01,our most for,Section,BodyComponent,StructureComponent,,Structure,,
,,,professional that s because we,Topic,BodyComponent,StructureComponent,,Structure,,
,,,surveyed hundred,Audience,,,,Delivery,,
,,,consultant to determine,Nervous,SpeakerEmotion,,,Delivery,,
,,,thing they needed,,,,,,,
,,,business presentation This,,,,,,,
,,,address all eight Let me just tell you,,,,,,,
,,,"how This course is organized,",,,,,,,
,,,get a feel for what s in in the,,,,,,,
,,,"first section, you ll learn how to",,,,,,,
,,,"any topic, no matter how boring one",,,,,,,
,,,that fascinates and the,,,,,,,
,,,of your audience and you ll learn how to,,,,,,,
,,,overcome your fear of public speaking,,,,,,,
,,,and feel le nervous. When,,,,,,,
,,,,,,,,,,
QT5vlkGM81041,5.01,5.16,front of an audience So that your,Audience,,,,Delivery,,
,,,"audience feel safe with You in section,",Audience,,,,Delivery,,
,,,"two, you ll learn how to make comfortable",Section,BodyComponent,StructureComponent,,Structure,,
,,,"small talk, to help you more client",Comfortable,SpeakerEmotion,,,Delivery,,
,,,and build rapport,,,,,,,
,,,This is one of the top thing that,,,,,,,
,,,business client want to know how do. I,,,,,,,
,,,,,,,,,,
QT5vlkGM81042,5.16,5.24,"talk, to people one next you ll",Audience,,,,Delivery,,
,,,learn how to your audience,,,,,,,
,,,listening even,,,,,,,
,,,why 45 minute.,,,,,,,
,,,,,,,,,,
QT5vlkGM81043,5.27,5.33,people s mind start to about,Start,StructureComponent,,,Structure,,
,,,every 10 minute it s the,,,,,,,
,,,"drifting theory,",,,,,,,
,,,"importantly, after 45 minute. the",,,,,,,
,,,,,,,,,,
QT5vlkGM81044,5.33,5.36,drifting interval,Speed,Paralanguage,NonVerbalCommunication,,Delivery,,
,,,"speed up, and you really. your",,,,,,,
,,,,,,,,,,
QT5vlkGM81045,5.36,5.43,audience you re going to learn the tool,Audience,,,,Delivery,,
,,,you can use to keep them on the of,,,,,,,
,,,"their seat, no matter how long. your",,,,,,,
,,,,,,,,,,
QT5vlkGM81046,5.43,6.36,"their seat, no matter how long. your",Section,BodyComponent,StructureComponent,,Structure,,
,,,"presentation and Finally in section,",Message,Conclusion,ClosingComponent,StructureComponent,Structure,,
,,,you ll get the answer to one of the Most,Section,BodyComponent,StructureComponent,,Structure,,
,,,common question,Audience,,,,Delivery,,
,,,How do I tailor my message for the,Start,StructureComponent,,,Structure,,
,,,specific people in the room you re going,Practice,Preparation,,,Delivery,,
,,,to learn how to do It even on the in,Message,Conclusion,ClosingComponent,StructureComponent,Structure,,
,,,"section, 3, you ll find out how to",Audience,,,,Delivery,,
,,,challenging people in your audience the,,,,,,,
,,,gripe complainer,,,,,,,
,,,"hog, quiet",,,,,,,
,,,these people can quickly,,,,,,,
,,,"presentation, so you need to know how to",,,,,,,
,,,handle them and stay on You ll,,,,,,,
,,,learn the top 10 most common,,,,,,,
,,,"presentation, mistake and how to",,,,,,,
,,,"them, or avoid them to start with and",,,,,,,
,,,Finally You ll learn how to use the top,,,,,,,
,,,5 best practice in public speaking to,,,,,,,
,,,deliver a message,,,,,,,
,,,to your audience Thank,,,,,,,
,,,this course we re looking to,,,,,,,
,,,learning with You Let s get we,,,,,,,
,,,"wish you the best in your career,",,,,,,,
,,,"you,",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk1,0,0.11,"When it come to presenting online, most",,,,,,,
,,,"of what we see is pretty, in fact, if",,,,,,,
,,,you re invited to watch an online,,,,,,,
,,,presentation or attend an online virtual,,,,,,,
,,,"meeting, your expectation are pretty low.",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk2,0.14,0.2,"Well, these are five top tip to make",Video,Film,MovingImage,Illustration,VisualAid,,
,,,sure you deliver awesome content that,,,,,,,
,,,everybody will remember now it s worth,,,,,,,
,,,"saying. I m, assuming in this video that",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk3,0.23,0.27,you re going to be either filming on,Phone,Computer,VisualAidDevice,,VisualAid,,
,,,your phone or on your laptop. A most,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk4,0.27,0.38,people would be tip number one think,,,,,,,
,,,about the setting that you are in So,,,,,,,
,,,when you re delivering an online,,,,,,,
,,,presentation really think about your,,,,,,,
,,,background. What s behind you! you! do nt,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk5,0.41,0.52,"want anything that s too distracting, so",,,,,,,
,,,not in the kitchen with all the kitchen,,,,,,,
,,,crap behind you! you! want something,,,,,,,
,,,"that s plain and that look professional,",,,,,,,
,,,"just use a backdrop like I m, using now.",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk6,0.55,1,This is just a standard black backdrop,,,,,,,
,,,and you can buy these on Amazon and,,,,,,,
,,,they re really not that expensive. The,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk7,1,1,same. You can get a stand to hold your,Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,,,,,,,,
XyRjKCT_wrk8,1.02,1.07,"backdrop on A well, so I d really",,,,,,,
,,,consider investing in one of those. If,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk9,1.07,1.18,you re going to be doing more online,Close,StructureComponent,,,Structure,,
,,,presentation think about how quiet the,,,,,,,
,,,area is that you re presenting in So you,,,,,,,
,,,do nt want any background. Noise close,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk10,1.18,1.3,"the window, make it A quiet a possible",Sound,Audio,VisualAidArtefact,,VisualAid,,
,,,"because when you re presenting online,",,,,,,,
,,,the sound is really important and think,,,,,,,
,,,"about the lighting a well, so you. want",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk11,1.3,1.35,the space that you re in to be really,,,,,,,
,,,"well, lit, so turn the light on. If",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk12,1.35,1.48,"there s A window, in the room that you re",,,,,,,
,,,in make sure that that is in front of,,,,,,,
,,,you and basically that no lighting,,,,,,,
,,,source is directly behind you! because,,,,,,,
,,,what you ll find is it will look like,,,,,,,
,,,you re in darkness to the viewer. So,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk13,1.48,1.54,really think about the setting that,Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,you re in number two stand up. If you,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk14,1.54,1.57,stand up. you will naturally deliver A,Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,,,,,,,,
XyRjKCT_wrk15,1.57,2,much better presentation. You will look,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk16,2,2.08,like you are performing far too often,,,,,,,
,,,when we sit and we watch an online,,,,,,,
,,,presentation we re watching. Somebody sat,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk17,2.08,2.13,at the table slunt down,,,,,,,
,,,it s hard to present. From this point of,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk18,2.13,2.18,"view, it look like they do nt care it s",Attention,,,,PresentationAttribute,,
,,,hard to retain somebody s attention. When,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk19,2.18,2.21,you look like that So stand up. and,Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,,,,,,,,
XyRjKCT_wrk20,2.21,2.35,"really give it A presentation, style, it",Audience,,,,Delivery,,
,,,will shock the audience into listening,,,,,,,
,,,because most of what they see in online,,,,,,,
,,,presentation is crap and it will make,,,,,,,
,,,them listen,,,,,,,
,,,so deliver A performance by standing up.,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk21,2.37,2.37,"Now, if you re going to stand up. you need",Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,,,,,,,,
XyRjKCT_wrk22,2.37,2.4,to raise your laptop. up. higher so that,Laptop,Computer,VisualAidDevice,,VisualAid,,
,,,,,,,,,,
XyRjKCT_wrk23,2.4,2.43,the lens of the camera is in your direct,,,,,,,
,,,eyeline. You do not want to be looking,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk24,2.46,2.55,"down at your camera lens, because then",Audience,,,,Delivery,,
,,,all your audience can see is the inside,,,,,,,
,,,"of your nose. Cavity, so standing up. will",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk25,2.55,2.55,nan,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk26,2.55,2.58,just naturally make you deliver A better,,,,,,,
,,,presentation. and that is key. When,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk27,3.01,3.01,nan,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk28,3.01,3.06,"delivering a presentation, online you are",Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,still performing so stand up. and perform,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk29,3.06,3.1,tip number three rehearse. You need to,Rehearse,Preparation,,,Delivery,,
,,,,,,,,,,
XyRjKCT_wrk30,3.1,3.3,treat your online presentation A you,Practice,Preparation,,,Delivery,,
,,,"would a presentation, on A stage in front",Practice,Preparation,,,Delivery,,
,,,"of 200 people So practice get set up, get",Dress,SpeakerAppearance,BodyPosition,BodyLangugenamebodylanguage,Delivery,,
,,,"the camera set up, and practice",,,,,,,
,,,"performing to that camera lens, tip",,,,,,,
,,,number four dress: to impress. How often,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk31,3.3,3.38,"do we watch people presenting online, and",,,,,,,
,,,it look like they ve made? No effort at,,,,,,,
,,,all you. need to treat your online,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk32,3.38,3.41,presentation in the same. way. You Would a,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk33,3.41,3.46,performance in front of 200 people So,Dress,SpeakerAppearance,BodyPosition,BodyLangugenamebodylanguage,Delivery,,
,,,"dress: to impress. if it s casual,",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk34,3.46,3.53,something where you re maybe just,,,,,,,
,,,"talking to colleague something casual,",,,,,,,
,,,"like This Would work. But maybe, if you re",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk35,3.53,4.21,"presenting to customer, you need to",Dress,SpeakerAppearance,BodyPosition,BodyLangugenamebodylanguage,Delivery,,
,,,dress: smarter something like This The,Audience,,,,Delivery,,
,,,important thing to remember with online,Audience,,,,Delivery,,
,,,presentation is you need to treat it A,,,,,,,
,,,"you would a presentation, in front of A",,,,,,,
,,,live audience so when it come to what,,,,,,,
,,,to wear,,,,,,,
,,,my advice is mirror the audience if,,,,,,,
,,,you re presenting to colleague then you,,,,,,,
,,,"can go with casual, But if you re",,,,,,,
,,,"presenting to customer, I d always go",,,,,,,
,,,with smart think about What you! Would be,,,,,,,
,,,wearing. If you were on,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk36,4.23,4.39,and number five think about your,Material,Prop,VisualAidArtefact,,VisualAid,,
,,,supporting material by supporting,Material,Prop,VisualAidArtefact,,VisualAid,,
,,,material,PowerPoint,Slide,VisualAidArtefact,,VisualAid,,
,,,"I mean PowerPoint Prezi, whatever slide",Video,Film,MovingImage,Illustration,VisualAid,,
,,,format you intend to use But also video,,,,,,,
,,,"A well, do nt ignore video. You can still",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk37,4.39,4.45,start an online presentation with an,Start,StructureComponent,,,Structure,,
,,,opening video. If you want to and The,Opening,StructureComponent,,,Structure,,
,,,,Video,Film,MovingImage,Illustration,VisualAid,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk38,4.45,5.14,slide that you use make sure you use,Slide,VisualAidArtefact,,,VisualAid,,
,,,picture so that people really remember,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,them and remember you and your content,Slide,VisualAidArtefact,,,VisualAid,,
,,,and importantly with supporting content,Opening,StructureComponent,,,Structure,,
,,,you need to make sure that you have a,Video,Film,MovingImage,Illustration,VisualAid,,
,,,"backup a well, when thing are online",,,,,,,
,,,you always run the risk of the stream,,,,,,,
,,,going down and people not being able to,,,,,,,
,,,see you If this happens have your,,,,,,,
,,,supporting content your slide and your,,,,,,,
,,,"opening video. available, so that you can",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk39,5.14,5.19,send it to people If they have nt been,,,,,,,
,,,"able to see it Properly online, So those.",,,,,,,
,,,,,,,,,,
XyRjKCT_wrk40,5.22,5.27,are my five top tip when it come to,Audience,,,,Delivery,,
,,,"presenting online, remember the",,,,,,,
,,,audience s expectation is low. most of,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk41,5.27,5.45,these are So If you just put in,Video,Film,MovingImage,Illustration,VisualAid,,
,,,some extra effort and follow those five,,,,,,,
,,,top tip you ll deliver some awesome,,,,,,,
,,,content that people will remember thanks,,,,,,,
,,,for watching that video I hope you found,,,,,,,
,,,it useful if you did here s the link to,,,,,,,
,,,some more. Please do subscribe because,,,,,,,
,,,,,,,,,,
XyRjKCT_wrk42,5.45,5.48,I ll be uploading. Video weekly,Video,Film,MovingImage,Illustration,VisualAid,,
,,,,,,,,,,
5utoLhjUuAI1,0.08,0.08,"Hi, my name is Joe McCarthy. I m one of",,,,,,,
,,,,,,,,,,
5utoLhjUuAI2,0.08,0.19,the pad shooter at the University of,Introduction,OpeningComponent,StructureComponent,,Structure,,
,,,"Bedfordshire, and I m going to give you a",End,StructureComponent,,,Structure,,
,,,very brief introduction of what,Reference,ClosingComponent,StructureComponent,,Structure,,
,,,paraphrasing is so by the end of today s,,,,,,,
,,,"session, you ll know about why we use",,,,,,,
,,,reference. The difference between quote,,,,,,,
,,,,,,,,,,
5utoLhjUuAI3,0.21,0.32,and paraphrasing and how to paraphrase,Reason,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,"so, there are three main reason why it s",,,,,,,
,,,important to reference. in your,,,,,,,
,,,,,,,,,,
5utoLhjUuAI4,0.32,0.32,assignment.,,,,,,,
,,,,,,,,,,
5utoLhjUuAI5,0.35,0.37,"First of all, reference can help to",Reference,ClosingComponent,StructureComponent,,Structure,,
,,,validate your point of view. So if you re,,,,,,,
,,,,,,,,,,
5utoLhjUuAI6,0.37,0.45,making a claim or an argument about,Evidence,Result,BodyComponent,StructureComponent,Structure,,
,,,"anything in particular, it s always",,,,,,,
,,,important to use evidence to make that a,,,,,,,
,,,"stronger argument. Okay, the next reason",,,,,,,
,,,,,,,,,,
5utoLhjUuAI7,0.45,0.49,is plagiarism. It s very easy to,,,,,,,
,,,,,,,,,,
5utoLhjUuAI8,0.49,0.51,accidentally plagiarize in your work. So,,,,,,,
,,,,,,,,,,
5utoLhjUuAI9,0.51,0.54,if you understand how to reference.,Reference,ClosingComponent,StructureComponent,,Structure,,
,,,,,,,,,,
5utoLhjUuAI10,0.56,0.59,"correctly, you ll avoid plagiarizing the",,,,,,,
,,,last thing it s a source of future,,,,,,,
,,,"investigation. So, for example, if anyone",,,,,,,
,,,,,,,,,,
5utoLhjUuAI11,1.01,1.05,read your work. and they re interested,,,,,,,
,,,,,,,,,,
5utoLhjUuAI12,1.05,1.1,to find out more about what this person,Information,BodyComponent,StructureComponent,,Structure,,
,,,"ha said, they can go away and they can",,,,,,,
,,,locate that information. They can locate,,,,,,,
,,,,,,,,,,
5utoLhjUuAI13,1.1,1.38,"that source So, there s two way future",Reference,ClosingComponent,StructureComponent,,Structure,,
,,,reference in quoting and,Quotation,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,paraphrasing,Text,VisualAidArtefact,,,VisualAid,,
,,,a quotation is when you copy a piece of,Text,VisualAidArtefact,,,VisualAid,,
,,,text word from a book or,,,,,,,
,,,another type of source you should keep,,,,,,,
,,,these to an absolute minimum at,,,,,,,
,,,University we re looking to see that,,,,,,,
,,,you re paraphrasing rather than just,,,,,,,
,,,copying lengthy text from somebody,,,,,,,
,,,"else. S work, so a I just mentioned, do",,,,,,,
,,,,,,,,,,
5utoLhjUuAI14,1.4,1.48,not have them too long that will eat,,,,,,,
,,,into your word count and ultimately it,,,,,,,
,,,"will affect the mark that you ll get. So,",,,,,,,
,,,,,,,,,,
5utoLhjUuAI15,1.48,1.53,paraphrasing is what we re looking to,,,,,,,
,,,see that you re doing your assignment.,,,,,,,
,,,,,,,,,,
5utoLhjUuAI16,1.54,1.56,"However, anything is when you look at",,,,,,,
,,,"other people, s work. and you put it into",,,,,,,
,,,,,,,,,,
5utoLhjUuAI17,1.56,1.58,your own word. It wa more to,,,,,,,
,,,,,,,,,,
5utoLhjUuAI18,1.58,2.06,paraphrasing than just changing one or,,,,,,,
,,,two word here and there or cutting out,,,,,,,
,,,word from a sentence. It will show your,,,,,,,
,,,,,,,,,,
5utoLhjUuAI19,2.06,2.18,"understanding to the reader, so, instead",,,,,,,
,,,of just identifying that something s,,,,,,,
,,,important and copying it word,,,,,,,
,,,You ve been able to read it understand,,,,,,,
